nm,abs,blue,bluegreen,green,orange,white,yellow,red
693.57,0.00358262,11,11,30.501,55.576,55.087,12,10.854
693.9,0.00429915,9.52,16.834,30,55,54,8.707,9
694.22,0.00429915,11,14,28.501,59.576,54.087,9,10.854
694.54,0.00429915,9.52,10.834,32,61,59,9.707,11
694.86,0.00429915,11,9,35.501,53.576,55.087,12,13.854
695.18,0.00429915,7.52,3.834,31,57,59,10.707,10
695.5,0.00429915,16,10,39.501,51.576,59.087,14,7.854
695.83,0.00429915,10.52,8.834,34,56,58,10.707,11
696.15,0.00429915,8,13,29.501,63.576,54.087,12,13.854
696.47,0.00429915,11.52,10.834,34,53,55,13.707,10
696.79,0.00429915,9,8,35.501,55.576,55.087,15,14.854
697.11,0.00429915,4.52,5.834,45,61,52,13.707,15
697.43,0.00429915,3,9,48.501,60.576,49.087,9,16.854
697.75,0.00429915,6.52,7.834,41,46,54,10.707,17
698.08,0.00358262,8,10,46.501,53.576,46.087,12,9.854
698.4,0.00429915,11.52,7.834,49,58,51,18.707,13
698.72,0.00429915,2,4,49.501,54.576,53.087,12,9.854
699.04,0.00429915,8.52,3.834,49,55,53,12.707,13
699.36,0.00429915,8,4,59.501,55.576,52.087,4,10.854
699.68,0.00429915,12.52,8.834,55,54,49,15.707,14
700,0.00429915,9,7,56.501,53.576,44.087,17,10.854
